feature,importance
numeric__recency_days,0.414029033686675
numeric__email_open_rate,0.048759320957069884
numeric__cart_abandonment_rate,0.04079811398105106
numeric__total_spent,0.04015134336333057
numeric__avg_session_minutes,0.03957010811394861
numeric__tenure_days,0.039187391102353385
numeric__discount_usage,0.03912173419128674
numeric__engagement_score,0.03858635772598608
numeric__average_order_value,0.03840978585261898
numeric__purchase_frequency,0.0360275801293679
numeric__pages_viewed,0.03066628891203282
numeric__age,0.02822264487919897
numeric__website_visits,0.022840612496485727
numeric__abandoned_carts,0.020708149078751664
numeric__cart_additions,0.0192895538365195
numeric__purchases,0.018378754120887512
numeric__support_tickets,0.01522467519489563
categorical__membership_Basic,0.008367328683184483
categorical__membership_Silver,0.006051446021978073
categorical__gender_Female,0.0050947161247407065
categorical__city_Accra,0.004887164419363409
categorical__gender_Male,0.004790487339019944
categorical__device_Mobile,0.004561616930814756
categorical__age_group_25-34,0.004217375291475953
categorical__age_group_35-44,0.0040919737052981554
categorical__device_Desktop,0.0038057831848296786
categorical__city_Kumasi,0.0036710737501503454
categorical__age_group_18-24,0.0031710099376053903
categorical__city_Tema,0.0027829257731723815
categorical__membership_Gold,0.002472148423316636
categorical__city_Takoradi,0.0024318173734839063
categorical__age_group_45-54,0.002366973646305161
categorical__city_Tamale,0.0022795720986523243
categorical__device_Tablet,0.0020039481639223594
categorical__city_Cape Coast,0.0017622272527298669
categorical__age_group_55+,0.0007523842653291427
categorical__gender_Other,0.0004665799921674521
